"","VCF0009x","VCF0010x","VCF0011x","VCF0009y","VCF0009z","VCF0010z","VCF0011z","VCF0017","VCF0018a","VCF0018b","VCF0050a","VCF0050b","VCF0070a","VCF0071c","VCF0072a","VCF0102","VCF0104","VCF0106","VCF0108","VCF0110","VCF0112","VCF0113","VCF0114","VCF0118","VCF0127","VCF0128","VCF0130a","VCF0140","VCF0143","VCF0146","VCF0147","VCF0148a","VCF0149","VCF0156","VCF0157","VCF0209","VCF0210","VCF0211","VCF0212","VCF0218","VCF0223","VCF0224","VCF0227","VCF0228","VCF0232","VCF0233","VCF0253","VCF0290","VCF0291","VCF0303","VCF0305","VCF0310","VCF0346","VCF0349","VCF0358","VCF0359","VCF0360","VCF0361","VCF0370","VCF0371","VCF0372","VCF0373","VCF0374","VCF0380","VCF0386","VCF0392","VCF0412","VCF0413","VCF0414","VCF0415","VCF0424","VCF0425","VCF0426","VCF0427","VCF0428","VCF0450","VCF0475","VCF0481","VCF0487","VCF0493","VCF0501","VCF0502","VCF0503","VCF0504","VCF0605","VCF0606","VCF0609","VCF0613","VCF0624","VCF0648","VCF0649","VCF0656","VCF0700","VCF0702","VCF0703","VCF0704","VCF0705","VCF0707","VCF0708","VCF0709","VCF0710","VCF0712","VCF0713","VCF0714","VCF0717","VCF0718","VCF0719","VCF0720","VCF0721","VCF0723a","VCF0729","VCF0731","VCF0733","VCF0734","VCF0736","VCF0740","VCF0741","VCF0742","VCF0801","VCF0804","VCF0806","VCF0809","VCF0823","VCF0830","VCF0838","VCF0839","VCF0843","VCF0846","VCF0847","VCF0849","VCF0850","VCF0851","VCF0852","VCF0853","VCF0854","VCF0867","VCF0870","VCF0871","VCF0872","VCF0876","VCF0878","VCF0879a","VCF0880","VCF0881","VCF0886","VCF0887","VCF0888","VCF0890","VCF0894","VCF0901b","VCF0903","VCF0904","VCF0905","VCF0991","VCF0992","VCF1004","VCF1005","VCF1011","VCF1012","VCF1013","VCF1014","VCF9005","VCF9009","VCF9013","VCF9016","VCF9017","VCF9018","VCF9021","VCF9022","VCF9023","VCF9025","VCF9027","VCF9028","VCF9029","VCF9030a","VCF9030b","VCF9030c","VCF9031","VCF9032","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9047","VCF9048","VCF9049","VCF9054","VCF9069","VCF9081","VCF9084","VCF9085","VCF9086","VCF9087","VCF9088","VCF9089","VCF9092","VCF9093","VCF9094","VCF9095","VCF9096","VCF9122","VCF9131","VCF9132","VCF9133","VCF9201","VCF9202","VCF9203","VCF9204","VCF9205","VCF9206","VCF9207","VCF9208","VCF9209","VCF9210","VCF9211","VCF9212","VCF9213","VCF9214","VCF9215","VCF9216","VCF9217","VCF9218","VCF9219","VCF9220","VCF9221","VCF9222","VCF9223","VCF9224","VCF9225","VCF9226","VCF9227","VCF9228","VCF9229","VCF9230","VCF9231","VCF9232","VCF9233","VCF9234","VCF9235","VCF9236","VCF9237","VCF9238","VCF9239","VCF9240","VCF9241","VCF9242","VCF9243","VCF9244","VCF9245","VCF9246","VCF9247","VCF9248","VCF9249","VCF9250","VCF9251","VCF9252","VCF9253","VCF9255","VCF9256","VCF9257","VCF9258","VCF9259","VCF9260","VCF9261","VCF9262","VCF9263","VCF9264","VCF9265","VCF9266","VCF9267","VCF9268","VCF9269","VCF9270","VCF9271","VCF9272","VCF9273","VCF9275","VCF9277","VCF9278","VCF9279","VCF9280","VCF9281","VCF9282"
"1",0.887,0.887,0.887,0,0.827,0.827,0.827,0,0,0,3,4,2,1,1,2,1,1,2,2,3,1,3,1,2,1,4,3,1,1,1,3,3,5,5,70,50,50,70,0,70,70,30,70,15,0,50,35,15,3,4,3,1,2,1,1,1,2,1,1,1,1,5,1,1,5,43,8,35,15,0,0,85,70,0,2,5,1,1,5,2,2,1,5,1,1,2,1,1,50,0,0,2,2,3,2,2,1,2,3,4,1,2,2,1,1,1,1,1,1,1,1,4,9,NA,2,2,2,59,3,6,7,2,7,2,1,6,1,3,5,1,1,4,2,4,5,5,5,1,5,5,5,2,2,1,1,1,1,3,"LA",1,1,1,1,5,2,3,2,2,1,2,70,5,2,4,1,4,5,1,0,1,1,2,3,2,2,2,5,3,5,1,1,5,1,1,1,1,1,1,2,1,1,5,1,1,6,5,6,3,6,6,2,2,1,1,1,9,2,1,3,3,1,9,5,5,4,5,2,2,3,1,2,2,3,3,3,2,2,2,3,5,2,3,2,1,2,2,4,4,2,1,1,2,2,9,1,9,1,4,2,3,1,1,3,5,3,4,5,3,2,2,2,3,2,1,2,7,7,2,1,15,50,100,4,7,4,4,2,3,1,1,2,1,1
"2",1.16,1.16,1.16,0,1.08,1.08,1.08,0,0,0,2,1,1,1,1,2,1,1,2,4,3,1,3,1,2,4,5,6,1,2,2,4,1,5,5,40,50,50,60,15,50,85,50,50,50,0,50,50,15,3,3,3,2,2,1,1,2,2,2,2,2,2,5,1,1,1,43,8,97,57,0,85,85,85,30,2,5,5,1,5,2,2,2,6,1,1,3,2,2,75,50,0,1,2,3,2,2,2,2,4,4,1,2,2,1,1,1,1,1,1,2,1,7,9,5,2,2,2,54,3,1,4,2,7,4,4,6,2,5,5,3,3,1,3,1,5,3,3,3,1,5,5,2,2,2,1,2,1,3,"AR",2,1,1,5,5,4,1,1,2,1,8,50,5,1,4,4,3,1,1,0,1,1,2,1,2,2,2,5,3,2,3,3,4,1,1,1,2,1,4,4,4,1,6,2,1,6,6,7,2,6,6,3,1,1,1,4,6,1,7,2,2,4,6,3,5,1,5,2,3,2,3,2,2,3,2,2,2,2,2,2,3,1,2,1,1,2,3,7,4,3,2,5,2,1,6,3,7,2,3,3,3,3,1,1,5,3,4,5,2,1,2,2,1,2,1,2,1,7,2,1,50,50,50,4,5,1,1,2,1,2,1,2,1,1
"3",0.416,0.416,0.416,0,0.387,0.387,0.387,0,0,0,2,4,2,1,1,1,1,1,2,2,3,1,2,1,2,4,5,3,1,2,2,1,3,5,5,70,60,50,50,50,60,50,50,50,70,15,50,50,50,1,2,1,1,2,1,1,2,2,2,1,1,1,5,5,5,5,55,45,66,85,50,85,60,50,30,2,5,5,5,5,2,2,4,4,1,1,1,1,1,0,0,0,2,1,1,NA,2,1,2,3,4,1,2,2,1,1,1,1,1,1,2,5,7,9,NA,2,2,2,49,3,6,7,1,7,2,2,6,2,5,3,3,1,2,3,2,5,3,3,1,1,1,3,2,1,1,1,1,1,3,"MS",2,1,2,5,5,4,1,2,2,1,6,50,5,1,3,1,1,5,1,2,1,1,2,3,2,2,2,5,0,5,1,1,5,1,2,1,1,2,4,4,4,3,4,3,3,7,6,5,5,7,5,1,2,2,1,3,6,1,2,3,3,4,6,4,5,4,5,3,4,4,4,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2,1,1,3,2,1,1,3,2,5,3,6,2,4,1,3,3,3,1,3,4,2,4,2,2,2,2,4,2,2,2,1,7,2,1,60,50,50,4,3,4,5,2,1,2,1,2,1,1
"4",0.385,0.385,0.385,0,0.359,0.359,0.359,0,0,0,1,2,2,1,1,5,1,1,2,2,3,1,4,1,1,1,0,3,1,1,1,1,4,5,5,40,40,50,50,30,50,70,50,50,50,40,50,50,30,3,2,2,1,1,1,1,2,2,1,1,1,1,5,1,1,1,30,20,50,40,0,40,60,60,15,2,5,1,1,1,2,2,2,5,1,1,1,2,2,50,50,0,2,2,3,2,2,1,2,3,4,3,3,2,2,1,1,1,1,2,2,1,5,9,NA,2,1,2,49,3,6,5,2,5,3,3,5,1,3,5,1,2,4,1,2,5,3,3,3,1,5,5,1,1,2,1,1,1,2,"TN",1,2,2,1,1,2,3,2,2,1,2,50,5,1,2,2,2,1,1,0,1,2,2,1,2,2,2,5,0,4,2,2,4,3,1,2,1,2,1,3,2,2,6,2,2,5,6,6,4,6,4,2,2,1,1,4,8,1,2,3,2,2,6,4,4,3,5,2,3,3,3,2,2,3,2,2,2,2,1,3,4,1,2,2,3,2,2,4,4,2,1,1,2,1,7,3,7,1,2,2,1,3,1,3,5,3,2,4,2,1,1,1,3,1,1,2,1,7,2,1,50,50,85,4,4,3,3,1,1,2,1,1,1,1
"5",0.693,0.693,0.693,0,0.647,0.647,0.647,0,0,0,2,4,1,1,1,3,2,1,2,2,2,2,1,1,2,4,2,3,1,2,3,1,3,5,5,50,85,70,70,70,85,40,85,50,85,50,70,55,65,1,2,2,1,1,1,1,2,2,1,1,2,2,5,1,5,1,8,58,78,28,15,50,0,97,40,2,1,5,1,5,2,2,2,6,2,3,1,1,3,0,100,100,1,2,3,NA,3,1,1,4,4,1,4,2,1,1,1,1,1,1,2,5,7,5,1,2,2,2,49,2,1,7,1,7,4,4,2,1,3,1,2,2,2,2,3,5,3,3,3,5,1,3,3,2,3,1,1,1,3,"OH",1,2,2,1,5,3,2,1,2,2,2,70,5,2,3,2,1,5,1,0,1,1,1,1,2,2,2,1,5,3,2,3,4,1,1,1,2,1,2,6,1,2,4,5,3,1,7,6,3,4,7,1,2,1,2,10,2,2,1,3,2,5,1,5,5,3,5,5,3,5,5,2,2,3,3,3,2,4,2,3,5,3,4,1,1,2,2,4,4,1,1,2,1,1,5,10,8,2,4,2,3,1,3,3,5,4,4,3,1,2,2,2,3,2,1,2,1,7,2,1,85,70,85,4,4,4,4,2,1,1,1,1,1,1
"6",0.758,0.758,0.758,0,0.706,0.706,0.706,0,0,0,1,1,2,1,1,5,1,1,2,4,1,2,1,1,2,2,1,6,1,1,1,6,2,5,5,70,2,15,50,15,50,30,50,0,50,25,50,23,43,3,2,3,1,1,1,1,2,2,1,1,1,1,5,5,1,1,25,25,43,23,0,15,50,70,0,2,5,1,1,1,2,2,1,6,1,1,1,3,1,25,0,0,2,2,3,2,2,2,1,4,3,5,4,2,2,1,1,1,1,2,2,1,1,9,5,2,2,2,66,3,6,7,2,5,2,3,6,1,3,5,2,1,3,1,2,5,5,5,3,1,1,3,2,2,3,2,2,3,3,"NJ",1,2,2,5,5,2,1,1,1,1,2,30,5,1,2,1,5,5,5,0,1,2,1,3,1,1,1,5,3,5,2,5,3,1,2,1,2,2,5,3,2,2,7,1,1,6,4,5,4,6,5,2,1,2,1,2,8,1,7,3,2,0,7,4,5,3,5,2,3,3,3,2,2,3,1,4,2,3,1,2,3,1,2,2,1,2,3,7,4,2,2,4,3,2,9,1,8,2,3,1,2,2,2,2,3,1,5,5,3,1,1,1,1,1,1,2,1,7,2,1,50,50,50,1,1,2,2,3,2,2,1,1,1,1
"7",4.251,4.251,4.251,0,3.96,3.96,3.96,0,0,0,2,3,1,1,1,5,1,2,2,2,1,2,4,1,1,1,4,2,5,1,1,1,4,5,5,50,70,85,85,85,97,15,50,60,85,50,50,50,85,1,4,2,2,1,2,1,1,1,1,1,2,2,5,5,5,1,43,93,45,35,85,30,0,60,97,1,1,5,5,5,2,1,4,7,1,1,3,3,3,50,100,0,1,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,5,7,1,1,1,2,1,49,3,6,1,2,1,4,7,5,1,3,5,2,1,2,1,3,5,5,4,3,1,1,3,2,1,1,1,1,1,2,"NY",2,1,2,1,5,4,1,1,2,1,5,85,1,1,4,1,1,1,1,0,1,1,1,1,1,1,1,5,3,2,1,1,3,3,1,1,1,1,1,5,3,3,6,2,1,4,7,5,3,6,6,2,2,1,2,10,5,1,1,1,2,8,5,2,1,1,4,5,5,3,5,1,2,2,1,2,1,4,1,1,2,1,1,2,1,2,2,4,4,1,1,2,1,1,8,7,4,2,3,3,3,1,1,3,4,3,3,4,2,1,2,2,2,2,1,2,1,1,1,1,100,50,100,2,5,2,2,1,1,1,1,2,1,1
"8",1.032,1.032,1.032,0,0.962,0.962,0.962,0,0,0,1,1,2,1,1,5,2,1,2,2,1,2,5,1,1,2,5,3,1,1,7,3,3,5,5,40,70,30,40,0,97,40,85,40,97,40,40,20,30,2,1,3,1,2,1,1,2,2,2,2,1,1,5,1,1,5,50,15,43,8,15,0,85,85,0,2,5,1,1,1,2,2,1,7,1,1,1,2,3,50,100,0,2,2,3,2,2,2,1,4,3,1,2,1,2,1,1,2,2,2,2,1,7,9,5,1,2,1,54,2,7,7,2,7,3,2,5,1,3,5,2,3,2,2,2,5,5,4,3,1,1,5,2,3,3,1,1,1,3,"NJ",2,1,2,5,5,4,1,2,2,2,5,85,5,1,2,4,4,1,1,0,1,2,1,1,1,2,1,5,3,5,4,2,5,1,3,3,1,2,4,4,4,1,7,3,2,6,7,7,4,7,6,2,1,1,2,3,7,1,2,3,1,2,10,5,4,3,5,1,2,2,2,2,2,3,2,3,2,3,1,3,4,1,1,2,1,2,1,1,4,4,1,2,2,2,6,1,8,2,4,2,3,3,3,3,5,4,4,5,2,1,1,2,1,1,1,2,3,3,1,1,70,85,85,2,2,3,2,2,1,2,1,1,1,1
"9",1.048,1.048,1.048,0,0.976,0.976,0.976,0,0,0,2,1,2,1,1,4,1,3,2,2,3,1,3,1,2,1,4,3,1,2,4,1,3,5,5,60,30,15,60,15,50,60,70,30,50,0,50,38,28,3,2,3,1,2,1,1,2,2,1,2,1,1,5,1,1,1,38,28,58,23,15,30,60,85,0,2,5,1,5,5,2,2,1,6,1,1,1,1,2,0,50,0,1,1,1,NA,3,1,2,4,4,1,4,2,1,1,1,1,1,1,2,1,7,9,NA,2,2,2,71,3,7,7,1,7,3,3,5,2,5,5,3,2,2,1,3,5,5,4,5,1,1,5,2,2,2,2,1,1,2,"TX",1,1,1,1,5,2,3,2,2,1,2,50,4,2,5,1,2,5,1,2,1,2,2,1,2,2,2,5,5,4,2,1,4,1,3,1,1,2,1,2,1,1,6,1,1,6,6,7,4,7,5,1,1,2,1,2,7,2,1,3,2,0,4,5,4,3,5,2,3,3,3,2,2,3,3,2,2,1,1,2,3,1,2,2,1,1,1,3,4,2,1,1,2,1,6,0,8,2,2,2,3,3,1,3,4,3,4,4,2,1,2,2,1,1,1,2,1,7,2,1,30,30,60,2,6,1,1,2,1,2,1,1,1,2
"10",0.664,0.664,0.664,0,0.618,0.618,0.618,0,0,0,4,1,1,2,1,2,2,1,2,3,3,1,3,1,2,1,4,5,1,1,1,3,3,5,5,50,60,50,50,50,50,50,50,60,50,50,50,50,50,1,2,3,2,2,1,2,1,1,1,1,1,1,5,5,5,5,55,55,85,64,60,97,50,51,70,1,5,5,5,5,1,1,5,5,2,2,1,2,3,50,100,75,1,2,3,NA,3,1,1,4,4,5,2,2,1,1,1,1,1,1,2,1,2,9,NA,2,2,2,49,1,1,4,2,4,4,3,4,1,2,1,2,2,4,2,1,5,3,3,3,1,1,3,2,2,1,1,1,1,2,"MS",2,1,2,1,1,4,1,2,2,1,6,70,2,2,4,5,1,5,5,0,1,1,1,3,2,2,2,5,0,3,3,3,2,1,1,2,2,2,2,5,4,3,7,3,5,7,4,4,3,6,7,2,2,2,1,5,5,2,1,1,3,5,6,2,3,2,4,3,5,3,1,1,1,2,1,2,1,3,2,3,4,1,2,2,1,2,3,6,4,2,2,4,1,1,5,7,10,1,2,1,1,3,1,3,3,3,3,4,2,2,1,1,3,2,1,2,1,7,2,1,50,50,50,4,4,5,4,2,1,2,1,1,1,1
